group,name,influence,position,salience,flexibility,veto,influence_norm,position_norm,salience_norm,flexibility_norm
Foreign,Indonesia,5.0,75,25,30,0,0.04904904904904905,0.375,0.13333333333333333,1.0
Foreign,Egypt,15.0,12,35,30,0,0.14914914914914915,0.06,0.26666666666666666,1.0
Foreign,IraqiKurds,5.0,10,25,30,0,0.04904904904904905,0.05,0.13333333333333333,1.0
Foreign,Brazil,5.0,5,25,30,0,0.04904904904904905,0.025,0.13333333333333333,1.0
Foreign,Venezuela,5.0,180,20,30,0,0.04904904904904905,0.9,0.06666666666666667,1.0
Foreign,NonAligned,10.0,75,60,30,0,0.0990990990990991,0.375,0.6,1.0
Foreign,Saudigovt,65.0,18,80,30,0,0.6496496496496497,0.09,0.8666666666666667,1.0
Foreign,Lebanon,2.0,75,25,30,0,0.019019019019019017,0.375,0.13333333333333333,1.0
Foreign,Russia,60.0,40,45,30,0,0.5995995995995995,0.2,0.4,1.0
Foreign,Israel,55.0,0,80,5,0,0.5495495495495495,0.0,0.8666666666666667,0.0
Foreign,UK,20.0,6,60,30,0,0.19919919919919918,0.03,0.6,1.0
Foreign,IraqiSunni,5.0,3,35,30,0,0.04904904904904905,0.015,0.26666666666666666,1.0
Foreign,Afghangovt,5.0,12,35,30,0,0.04904904904904905,0.06,0.26666666666666666,1.0
Foreign,NorthKorea,15.0,200,25,30,0,0.14914914914914915,1.0,0.13333333333333333,1.0
Foreign,Pakistan,5.0,75,30,30,0,0.04904904904904905,0.375,0.2,1.0
Foreign,IraqGovt,15.0,12,50,30,0,0.14914914914914915,0.06,0.4666666666666667,1.0
Foreign,TurkKurds,2.0,10,20,30,0,0.019019019019019017,0.05,0.06666666666666667,1.0
Foreign,India,10.0,75,20,30,0,0.0990990990990991,0.375,0.06666666666666667,1.0
Foreign,China,60.0,75,40,30,0,0.5995995995995995,0.375,0.3333333333333333,1.0
Foreign,Japan,5.0,6,45,30,0,0.04904904904904905,0.03,0.4,1.0
Foreign,UNSC,100.0,6,75,30,0,1.0,0.03,0.8,1.0
Foreign,Germany,10.0,6,40,30,0,0.0990990990990991,0.03,0.3333333333333333,1.0
Foreign,France,30.0,6,50,30,0,0.29929929929929927,0.03,0.4666666666666667,1.0
Foreign,Syria,10.0,143,25,30,0,0.0990990990990991,0.715,0.13333333333333333,1.0
Foreign,Italy,5.0,15,30,30,0,0.04904904904904905,0.075,0.2,1.0
Foreign,GulfStates,20.0,13,70,30,0,0.19919919919919918,0.065,0.7333333333333333,1.0
Foreign,AFGenrlStf,20.0,175,55,30,0,0.19919919919919918,0.875,0.5333333333333333,1.0
Foreign,Turkeygovt,15.0,6,60,30,0,0.14914914914914915,0.03,0.6,1.0
Interest,CSR,5.0,75,80,30,0,0.04904904904904905,0.375,0.8666666666666667,1.0
Interest,ArabStreet,5.0,140,25,30,0,0.04904904904904905,0.7,0.13333333333333333,1.0
Interest,Hesbollah,15.0,155,35,15,0,0.14914914914914915,0.775,0.26666666666666666,0.4
Interest,OilIndstry,65.0,18,25,30,0,0.6496496496496497,0.09,0.13333333333333333,1.0
Interest,MuslimBrth,5.0,75,25,10,0,0.04904904904904905,0.375,0.13333333333333333,0.2
Interest,IntlBusnes,45.0,18,15,30,0,0.4494494494494494,0.09,0.0,1.0
Interest,IAEA,100.0,75,80,20,0,1.0,0.375,0.8666666666666667,0.6
Interest,Taliban,5.0,135,25,5,0,0.04904904904904905,0.675,0.13333333333333333,0.0
Interest,IPIS,5.0,100,55,30,0,0.04904904904904905,0.5,0.5333333333333333,1.0
Iran,IRGCOrg,95.0,175,50,5,0,0.94994994994995,0.875,0.4666666666666667,0.0
Iran,MinDefAFLg,30.0,160,55,25,0,0.29929929929929927,0.8,0.5333333333333333,0.8
Iran,AyatHardln,80.0,135,40,5,0,0.7997997997997998,0.675,0.3333333333333333,0.0
Iran,Ahmadi-Nej,40.0,180,90,10,0,0.39939939939939934,0.9,1.0,0.2
Iran,Velayati,70.0,155,80,25,0,0.6996996996996997,0.775,0.8666666666666667,0.8
Iran,StudYouths,80.0,75,30,30,0,0.7997997997997998,0.375,0.2,1.0
Iran,IAcademics,1.0,75,30,30,0,0.009009009009009009,0.375,0.2,1.0
Iran,XNucNego,15.0,75,75,30,0,0.14914914914914915,0.375,0.8,1.0
Iran,SCNS,80.0,150,90,20,0,0.7997997997997998,0.75,1.0,0.6
Iran,Shahrudi,30.0,150,45,20,0,0.29929929929929927,0.75,0.4,0.6
Iran,Bazaaris,25.0,100,25,30,0,0.2492492492492492,0.5,0.13333333333333333,1.0
Iran,Iprovinial,10.0,75,20,30,0,0.0990990990990991,0.375,0.06666666666666667,1.0
Iran,Quietists,70.0,75,30,30,0,0.6996996996996997,0.375,0.2,1.0
Iran,Manuchehr,25.0,100,65,25,0,0.2492492492492492,0.5,0.6666666666666666,0.8
Iran,Larijani,70.0,130,85,20,0,0.6996996996996997,0.65,0.9333333333333333,0.6
Iran,Soleimani,25.0,180,45,7,0,0.2492492492492492,0.9,0.4,0.08
Iran,IUrbanPoor,35.0,75,20,30,0,0.3493493493493493,0.375,0.06666666666666667,1.0
Iran,Safavi,25.0,155,75,15,0,0.2492492492492492,0.775,0.8,0.4
Iran,AliHoseini,10.0,140,45,12,0,0.0990990990990991,0.7,0.4,0.28
Iran,RadRelAdv,5.0,200,70,15,0,0.04904904904904905,1.0,0.7333333333333333,0.4
Iran,IBankSystm,20.0,75,30,30,0,0.19919919919919918,0.375,0.2,1.0
Iran,dissidents,0.5,75,15,30,0,0.004004004004004004,0.375,0.0,1.0
Iran,Majlis,20.0,143,25,30,0,0.19919919919919918,0.715,0.13333333333333333,1.0
Iran,Qalibaf,5.0,143,40,30,0,0.04904904904904905,0.715,0.3333333333333333,1.0
Iran,Bonyads,60.0,75,25,30,0,0.5995995995995995,0.375,0.13333333333333333,1.0
Iran,AEOI,20.0,135,90,30,0,0.19919919919919918,0.675,1.0,1.0
Iran,MOIS,5.0,155,55,30,0,0.04904904904904905,0.775,0.5333333333333333,1.0
Iran,IranKurds,5.0,18,25,30,0,0.04904904904904905,0.09,0.13333333333333333,1.0
Iran,ICntrlBnk,45.0,75,35,30,0,0.4494494494494494,0.375,0.26666666666666666,1.0
Iran,InfFamAdv,40.0,135,35,30,0,0.39939939939939934,0.675,0.26666666666666666,1.0
Iran,IUrbanMidC,40.0,75,20,30,0,0.39939939939939934,0.375,0.06666666666666667,1.0
Iran,MoshenEjei,30.0,155,55,20,0,0.29929929929929927,0.775,0.5333333333333333,0.6
Iran,IranOilInd,50.0,75,40,30,0,0.49949949949949946,0.375,0.3333333333333333,1.0
Iran,AzEthnicMn,1.0,75,20,30,0,0.009009009009009009,0.375,0.06666666666666667,1.0
Iran,SLKhamene,100.0,155,90,15,1,1.0,0.775,1.0,0.4
Iran,InfRelAdv,30.0,135,30,30,0,0.29929929929929927,0.675,0.2,1.0
Iran,expats,0.1,75,15,30,0,0.0,0.375,0.0,1.0
Iran,Rafsanjani,60.0,145,75,30,0,0.5995995995995995,0.725,0.8,1.0
Iran,Aqazedeh,20.0,135,90,12,0,0.19919919919919918,0.675,1.0,0.28
USA,USNSC,100.0,3,85,10,0,1.0,0.015,0.9333333333333333,0.2
USA,USDOS,45.0,6,80,15,0,0.4494494494494494,0.03,0.8666666666666667,0.4
USA,Pentagon,45.0,5,70,5,0,0.4494494494494494,0.025,0.7333333333333333,0.0
